Autoridad,Año,Bloque,Destino,Expediente,Fecha_llegada,Fecha_salida,Motivo,Viaticos_Total_Dolar,Viaticos_Total_Pesos,Viaticos_dolar,Viaticos_euro,Viaticos_pesos,Duracion_viaje
"LOPEZ, Osvaldo Ramón",2012,Nuevo Encuentro,Estados Unidos,HSN 4159/2012,2012-11-03 00:00:00,2012-11-01 00:00:00,Diálogo Argentino Americano en el marco del próximo proceso electoral en dicho país,900.0,4302.0,900.0,0.0,0.0,2.0
"ESCUDERO, Sonia Margarita",2012,Justicialista 8 De Octubre,España,HSN 4531/2012,2012-11-12 00:00:00,2012-11-06 00:00:00,Eurolat,2725.2566735112937,13272.0,0.0,2100.0,0.0,6.0
"ROJKES DE ALPEROVICH, Beatriz",2012,Frente para la Victoria,España,HSN 4520/2012,2012-11-13 00:00:00,2012-11-07 00:00:00,Eurolat,2723.849372384937,13020.0,0.0,2100.0,0.0,6.0
"BIANCALANI, Fabio Dario",2012,Frente para la Victoria,España,HSN 4531/2012,2012-11-13 00:00:00,2012-11-07 00:00:00,Eurolat,2723.849372384937,13020.0,0.0,2100.0,0.0,6.0
"RODRÍGUEZ SAÁ, Adolfo",2012,PJ de San Luis,España,HSN 4531/2012,2012-11-14 00:00:00,2012-11-07 00:00:00,Eurolat,2723.849372384937,13020.0,0.0,2100.0,0.0,7.0
"GODOY, Ruperto Eduardo",2012,Frente para la Victoria,Francia,HSN 4571/2012,2012-11-13 00:00:00,2012-11-06 00:00:00,Jornada Diferencias y Similitudes Crisis Europea 2012 y Crisis Argentina 2001,2725.2566735112937,13272.0,0.0,2100.0,0.0,7.0
"IRRÁZABAL, Juan Manuel",2012,Frente para la Victoria,Francia,HSN 4571/2012,2012-11-13 00:00:00,2012-11-06 00:00:00,"Jornada Diferencias y Similitudes Crisis Europea 2012 y
Crisis Argentina 2001",2725.2566735112937,13272.0,0.0,2100.0,0.0,7.0
"PERSICO, Daniel Raúl",2012,Frente para la Victoria,Cuba,HSN 4971/2012,2012-12-09 00:00:00,2012-11-30 00:00:00,Coloquio Internacional por la Libertad de los Cinco,800.0,3880.0,800.0,0.0,0.0,9.0
"CORRADI DE BELTRAN, Ana María",2012,Frente para la Victoria,México,HSN 5028/2012,2012-12-05 00:00:00,2012-11-30 00:00:00,Reunión Confederación Parlamentaria de las Américas,1500.0,7274.999999999999,1500.0,0.0,0.0,5.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",2012,Frente Cívico Por Santiago,México,HSN 5028/2012,2012-12-05 00:00:00,2012-11-30 00:00:00,Reunión Confederación Parlamentaria de las Américas,1500.0,7274.999999999999,1500.0,0.0,0.0,5.0
"ESCUDERO, Sonia Margarita",2012,Justicialista 8 De Octubre,Panamá,HSN 5147/2012,2012-12-03 00:00:00,2012-11-30 00:00:00,Parlatino,1000.0,4850.0,1000.0,0.0,0.0,3.0
"HIGONET, María de los Ángeles",2012,PJ La Pampa,Panamá,HSN 5147/2012,2012-12-03 00:00:00,2012-11-30 00:00:00,Parlatino,1000.0,4850.0,1000.0,0.0,0.0,3.0
"CORREGIDO, Elena Mercedes",2012,Frente para la Victoria,Italia,HSN 4851/2012,2012-12-12 00:00:00,2012-12-06 00:00:00,Asamblea Consultiva de Parlamentarios para la Corte Penal Internacional y el Estado de Derecho,2730.8641975308637,13272.0,0.0,2100.0,0.0,6.0
"GONZÁLEZ, Pablo Gerardo",2012,Frente para la Victoria,Italia,HSN 4851/2012,2012-12-12 00:00:00,2012-12-06 00:00:00,Asamblea Consultiva de Parlamentarios para la Corte Penal Internacional y el Estado de Derecho,2730.8641975308637,13272.0,0.0,2100.0,0.0,6.0
"FERNÁNDEZ, Aníbal Domingo",2012,Frente para la Victoria,Suecia,HSN 5279/2012,2012-12-14 00:00:00,2012-12-10 00:00:00,XXVI Confederación Mundial de ILGA,1946.611909650924,9480.0,0.0,1500.0,0.0,4.0
"RIOFRÍO, Marina Raquel",2013,Frente para la Victoria,Estados Unidos,HSN 64-2013,2013-01-30 00:00:00,2013-01-17 00:00:00,Primer Período Ordinario Mujeres ONU,2100.0,10405.5,2100.0,0.0,0.0,13.0
"MARINO, Juan Carlos",2013,Unión Cívica Radical,Filipinas,HSN 118-2013,2013-02-10 00:00:00,2013-01-26 00:00:00,V Conferencia Mundial Parlamentarios contra la Corrupción,2094.972067039106,13125.0,2100.0,0.0,0.0,15.0
"ROLDAN, José María",2013,Frente para la Victoria,España,HSN 5343-2012,2013-02-06 00:00:00,2013-01-28 00:00:00,Feria Internacional de Turismo FITUR,2825.301204819277,14070.0,0.0,2100.0,0.0,9.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Cuba,HSN 5446-2012,2013-02-09 00:00:00,2013-01-27 00:00:00,III Conferencia Internacional por el Equilibrio del Mundo,598.5634477254589,3750.0,600.0,0.0,0.0,13.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Filipinas,HSN 5311-2012,2013-02-05 00:00:00,2013-01-25 00:00:00,V Conferencia Mundial Parlamentarios contra la Corrupción,2100.0,10437.0,2100.0,0.0,0.0,11.0
"BIANCALANI, Fabio Dario",2013,Frente para la Victoria,Chile,HSN 68-2013,2013-01-26 00:00:00,2013-01-22 00:00:00,EUROLAT,995.3675730110775,4942.0,0.0,0.0,4942.0,4.0
"RODRÍGUEZ SAÁ, Adolfo",2013,PJ de San Luis,Chile,HSN 68-2013,2013-01-26 00:00:00,2013-01-22 00:00:00,EUROLAT,995.3675730110775,4942.0,0.0,0.0,4942.0,4.0
"ROJKES DE ALPEROVICH, Beatriz",2013,Frente para la Victoria,Chile,HSN 68-2013,2013-01-26 00:00:00,2013-01-23 00:00:00,EUROLAT,0.0,0.0,0.0,0.0,0.0,3.0
"FILMUS, Daniel Fernando",2013,Frente para la Victoria,Inglaterra,HSN 265-2013,2013-02-08 00:00:00,2013-02-03 00:00:00,Programa Encuentro de Grupos Europeos Prodiálogo sobre la Cuestión Malvinas,2332.9608938547485,14615.999999999998,0.0,1800.0,0.0,5.0
"BERMEJO, Rolando Adolfo",2013,Frente para la Victoria,Chile,HSN 372-2013,2013-02-12 00:00:00,2013-02-06 00:00:00,VII Feria Internacional de Integración de Paupudo 2013,1400.0,6986.0,1400.0,0.0,0.0,6.0
"LINARES, Jaime",2013,Gen,Ecuador,HSN 419-2013,2013-02-19 00:00:00,2013-02-14 00:00:00,Elecciones generales Ecuador,1200.0,6012.0,1200.0,0.0,0.0,5.0
"IRRÁZABAL, Juan Manuel",2013,Frente para la Victoria,Ecuador,HSN 393-2013,2013-02-19 00:00:00,2013-02-14 00:00:00,Elecciones generales Ecuador,1200.0,6012.0,1200.0,0.0,0.0,5.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Estados Unidos,HSN 756-2013,2013-03-08 00:00:00,2013-03-03 00:00:00,Comisión de la Situación de la Mujer,1197.1268954509178,7500.0,1200.0,0.0,0.0,5.0
"RIOFRÍO, Marina Raquel",2013,Frente para la Victoria,Estados Unidos,HSN 452-2013,2013-03-08 00:00:00,2013-03-03 00:00:00,Comisión de la Situación de la Mujer,1795.6903431763767,11250.0,1800.0,0.0,0.0,5.0
"FILMUS, Daniel Fernando",2013,Frente para la Victoria,Estados Unidos,HSN 943-2013,2013-03-20 00:00:00,2013-03-13 00:00:00,Objetivos del Milenio +15,2100.0,10668.0,2100.0,0.0,0.0,7.0
