id,label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class
67226,paulbarrios1975,1,0,1,1.0,0.0,1.0,0
67227,RoomiDiaaz15,1,0,1,1.0,0.0,1.0,0
67228,Deleo_Produc,1,0,1,1.0,0.0,1.0,0
67229,Fernegrita29,0,1,1,0.0,1.0,1.0,0
67230,Agustin_Macri,9,0,9,9.0,0.0,9.0,91
67231,marieladiaz5,1,0,1,1.0,0.0,1.0,0
67232,jaazbalbo,1,0,1,1.0,0.0,1.0,0
67233,Larita0311,1,0,1,1.0,0.0,1.0,0
67234,dzapatillas,4,1,5,4.0,1.0,5.0,0
67235,ayelenlezcano15,1,0,1,1.0,0.0,1.0,0
67236,zz_motoRocker,0,1,1,0.0,1.0,1.0,0
67237,Adriana82686032,1,0,1,1.0,0.0,1.0,0
67238,YanetRivarola,1,0,1,1.0,0.0,1.0,0
67239,PatriciaAAlonzo,1,0,1,1.0,0.0,1.0,0
67240,Flor717,1,1,2,1.0,1.0,2.0,0
67241,meluupalmieri1,1,0,1,1.0,0.0,1.0,0
67242,ARISMI,1,0,1,1.0,0.0,1.0,0
67243,marisafanzali,3,0,3,3.0,0.0,3.0,0
67244,8s,1,0,1,1.0,0.0,1.0,0
67245,Micaela_Ovieedo,1,0,1,1.0,0.0,1.0,0
67246,travisproulx,5,0,5,5.0,0.0,5.0,0
