Source,Target,weight
470,25807,1.0
471,57805,1.0
472,31712,1.0
472,36321,1.0
472,472,1.0
472,70064,2.0
472,3653,1.0
473,29201,1.0
473,16834,1.0
473,50623,1.0
474,58139,1.0
475,22161,1.0
476,1226,1.0
477,31993,1.0
477,26698,1.0
477,39290,1.0
478,54722,1.0
479,60255,1.0
480,29108,1.0
481,54455,1.0
481,25807,1.0
481,1534,1.0
481,500,1.0
481,57521,1.0
481,14959,1.0
481,59155,1.0
481,47637,1.0
481,15582,1.0
482,65629,1.0
483,58139,1.0
484,51704,1.0
485,37528,3.0
486,29108,1.0
487,1797,1.0
487,14042,1.0
488,24326,1.0
489,55345,1.0
489,39095,1.0
490,35724,1.0
491,15298,1.0
491,34321,1.0
491,42954,2.0
491,60579,1.0
492,33005,1.0
493,17956,1.0
494,68545,1.0
495,59695,1.0
496,23270,1.0
496,26141,2.0
497,26141,2.0
498,35952,1.0
499,60255,1.0
500,41376,1.0
500,45837,1.0
500,3357,1.0
500,1086,1.0
500,22265,3.0
500,10017,1.0
500,60441,2.0
500,59316,1.0
500,40293,1.0
500,22269,1.0
500,52585,1.0
500,65973,4.0
500,58297,1.0
500,47019,2.0
500,9283,1.0
500,27956,1.0
500,10399,1.0
500,5565,1.0
500,36771,1.0
500,23435,1.0
500,15527,1.0
500,12156,1.0
500,20028,2.0
500,65049,1.0
500,53876,2.0
500,62705,1.0
500,24553,2.0
500,28558,1.0
500,7829,2.0
500,54877,1.0
500,61593,1.0
500,1123,3.0
500,53940,1.0
500,39910,1.0
500,58449,1.0
500,2486,1.0
500,46967,1.0
500,3556,1.0
500,27995,1.0
500,22854,2.0
500,1142,1.0
500,18955,2.0
500,3416,1.0
500,45898,1.0
500,3425,1.0
500,44772,1.0
500,30252,1.0
500,64921,1.0
500,36209,1.0
500,62506,1.0
500,24593,2.0
500,15582,3.0
500,17873,1.0
500,20407,1.0
500,58286,2.0
500,29563,1.0
500,35750,1.0
500,33634,1.0
500,44789,3.0
500,56504,1.0
500,30275,1.0
500,31398,2.0
500,28041,2.0
500,1179,1.0
500,50421,1.0
500,15951,1.0
500,15599,1.0
500,43685,1.0
500,22876,1.0
500,67189,2.0
500,18998,1.0
500,56083,2.0
500,61664,1.0
500,66075,2.0
500,41482,1.0
500,37467,1.0
500,12777,3.0
500,25876,1.0
500,69424,2.0
500,5136,1.0
500,43068,1.0
500,10118,1.0
500,5207,1.0
500,694,4.0
500,64975,1.0
500,2340,1.0
500,67213,5.0
500,18536,1.0
500,43249,2.0
500,41767,1.0
500,44836,1.0
500,12720,1.0
500,6824,1.0
500,13390,2.0
500,66106,1.0
500,45177,1.0
500,31457,1.0
500,22285,3.0
500,12287,1.0
500,14953,1.0
500,59102,1.0
500,7947,2.0
500,69462,1.0
500,35981,1.0
500,38975,1.0
500,15477,2.0
500,31473,1.0
500,39337,1.0
500,40250,1.0
500,43752,1.0
500,41545,1.0
500,31479,1.0
500,52741,1.0
500,21433,1.0
500,35994,2.0
500,50223,1.0
500,5715,1.0
500,5720,1.0
500,15688,1.0
500,13424,1.0
500,66149,1.0
500,4670,1.0
500,56162,1.0
500,24366,1.0
500,25890,1.0
500,34543,1.0
500,16905,1.0
500,52763,1.0
500,47100,1.0
500,5733,2.0
500,58397,1.0
500,30366,1.0
500,4646,1.0
500,59496,2.0
500,15706,2.0
500,68968,3.0
500,33754,2.0
500,24713,1.0
500,21944,1.0
500,5751,2.0
500,4661,1.0
500,47129,1.0
500,14585,1.0
500,50544,1.0
500,68404,2.0
500,20603,1.0
500,70656,1.0
500,31533,1.0
500,23625,1.0
500,27784,1.0
500,39393,1.0
500,63397,1.0
500,21363,1.0
500,47152,1.0
500,21655,1.0
500,44932,1.0
500,39198,1.0
500,12379,1.0
500,68421,1.0
500,61835,1.0
500,2688,1.0
500,42723,1.0
500,55403,3.0
500,22300,2.0
500,33803,1.0
500,69555,1.0
500,67320,4.0
500,8042,1.0
500,42730,1.0
500,58459,1.0
500,51716,2.0
500,21397,1.0
500,55104,1.0
500,64011,4.0
500,21180,1.0
500,19144,3.0
500,39420,1.0
500,51075,1.0
500,67339,1.0
500,39423,1.0
500,39613,1.0
500,46278,1.0
500,18044,1.0
500,30653,1.0
500,41647,2.0
500,52843,2.0
500,4725,1.0
500,39645,2.0
500,34989,1.0
500,10261,2.0
500,14424,1.0
500,39438,2.0
500,15797,1.0
500,20292,2.0
500,3635,2.0
500,32679,1.0
500,57374,1.0
500,39316,1.0
